question,answer
What percentage of people have ridden in the back of a police car?,34
What percentage of people prefer Predator over Alien?,52
What percentage of people have eaten SPAM in the past year?,17
What percentage of people would prefer Sherlock Holmes’ detective services over Batman’s?,59
"What percentage of people have ever had usernames (email, Twitter, etc.) with the number 69 in them?",9
"Concerning celebrity Mels, what percentage of people prefer Mel Brooks over Mel Gibson?",75
What percentage of people still have landline telephones in their homes?,35
What percentage of people can confidently explain the difference between a macchiato and a latte?,18
What percentage of people prefer dark chocolate over milk chocolate?,38
What percentage of people prefer to use the big spoon instead of the small spoon when eating breakfast cereal?,47
What percentage of people would choose a posh city penthouse over a sprawling country estate?,47
What percentage of people own bowling balls?,20
What percentage of people have read at least one chapter of Fifty Shades of Grey?,18
